method,description,views,lines,unique_cols,coverage,ssim_mean,ssim_ci_lo,ssim_ci_hi,nrmse_mean,nrmse_ci_lo,nrmse_ci_hi,heldout_kspace_err_mean,heldout_kspace_err_ci_lo,heldout_kspace_err_ci_hi
single_r4,Single scan (R=4),1,64,64,0.25,0.6431227392564295,0.6218210638024977,0.6667372004385659,0.1670951245848477,0.1635341168999327,0.1706498433323047,0.872942471007506,0.863423122142752,0.8821283825362723
dup4_merge,"4x duplicated, merged",4,256,64,0.25,0.6562896440715712,0.6360477723974054,0.6772525037204066,0.1576563347213871,0.1534567264274317,0.1618469869640724,0.8833178609609604,0.8736211398988962,0.8932125726342199
dup4_ft,"4x duplicated, xview-FT",4,256,64,0.25,0.7032369168826598,0.6845457097273199,0.7236494877076919,0.1446792294277285,0.1417696552431011,0.1475532785625889,0.8578148081898689,0.8494709526995818,0.8660795533532898
comp4_merge,"4x complementary, merged",4,256,208,0.812,0.7655776610932029,0.7513198456814332,0.7816387047852769,0.1215241897760139,0.1191929960636388,0.1238354917051443,0.8370438103874525,0.8251289771248898,0.8488849073896806
comp4_ft,"4x complementary, xview-FT",4,256,208,0.812,0.7642554669657813,0.7491541362687001,0.7809295258813889,0.1204675586746581,0.1185495326568569,0.1223593415733955,0.8387777214248976,0.8268282202382883,0.8505080616598328
fcomp4_merge,"4x fully-complementary, merged",4,256,256,1.0,0.7649871735337874,0.7507768932188847,0.7809352107943713,0.1305797695793277,0.1256200836865647,0.1362567550463481,,,
fcomp4_ft,"4x fully-complementary, xview-FT",4,256,256,1.0,0.7559496010886777,0.740778322683822,0.7735493803877332,0.1406216998914521,0.1334157979909138,0.1484100039947585,,,
full_diffusion,"Full scan, diffusion",1,256,256,1.0,0.7577176334667718,0.7435842307507364,0.77332194456108,0.13464699063941,0.1302966136778455,0.1395677052010245,,,
full_plain,"Full scan, plain recon",1,256,256,1.0,0.796393429460897,0.7831573452997046,0.8117665632647549,0.1198432756596971,0.1164717399678427,0.1239805118518787,,,
dualfull_merge,"2 full scans, classical avg (NEX=2)",2,512,256,1.0,0.8777639913777314,0.8688614991242067,0.8869655125801795,0.0985593690867572,0.0936041878865931,0.1033903984949788,,,
dualfull_ft,"2 full scans, xview-FT",2,512,256,1.0,0.7585896277246441,0.7438949930916826,0.7747563979181329,0.1425136159503608,0.1361342249224033,0.1495927398366883,,,
