method,n_subjects,nrmse_mean,nrmse_median,nrmse_std,nrmse_ci_lo,nrmse_ci_hi,psnr_mean,psnr_median,psnr_std,psnr_ci_lo,psnr_ci_hi,ssim_mean,ssim_median,ssim_std,ssim_ci_lo,ssim_ci_hi,measured_kspace_err_mean,measured_kspace_err_median,measured_kspace_err_std,measured_kspace_err_ci_lo,measured_kspace_err_ci_hi,heldout_kspace_err_mean,heldout_kspace_err_median,heldout_kspace_err_std,heldout_kspace_err_ci_lo,heldout_kspace_err_ci_hi,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_std,runtime_seconds_ci_lo,runtime_seconds_ci_hi,num_net_evals_mean,num_net_evals_median,num_net_evals_std,num_net_evals_ci_lo,num_net_evals_ci_hi,heldout_kspace_err_allcoef_mean,heldout_kspace_err_allcoef_median,heldout_kspace_err_allcoef_std,heldout_kspace_err_allcoef_ci_lo,heldout_kspace_err_allcoef_ci_hi,ssim_fullfov_mean,ssim_fullfov_median,ssim_fullfov_std,ssim_fullfov_ci_lo,ssim_fullfov_ci_hi,nrmse_fullfov_mean,nrmse_fullfov_median,nrmse_fullfov_std,nrmse_fullfov_ci_lo,nrmse_fullfov_ci_hi,psnr_fullfov_mean,psnr_fullfov_median,psnr_fullfov_std,psnr_fullfov_ci_lo,psnr_fullfov_ci_hi,brain_fraction_mean,brain_fraction_median,brain_fraction_std,brain_fraction_ci_lo,brain_fraction_ci_hi
M0,25,0.2257573117192768,0.22523199722520726,0.013333560767710034,0.2207900259770378,0.2312758277842843,21.832980095740368,21.959756920282654,0.7585680672125383,21.522647265885464,22.121520614304945,0.5193095446127444,0.5237722567692834,0.015892045361821736,0.5130318691921227,0.525526829330286,0.1790411871671676,0.17795282105604804,0.008818743202071693,0.17571660080552096,0.1826520383407672,0.9844778466224672,0.9845988353093466,0.003099855534487822,0.9832742745081583,0.9856700407663981,0.010949751536051378,0.010774135589599533,0.0008943150911899202,0.010601309617360374,0.011296448787053364,0.0,0.0,0.0,0.0,0.0,0.5226513628164927,0.5197449326515198,0.012200185674598333,0.5180478389064471,0.5276789753337702,0.36539086184221625,0.36633288030407213,0.026666767528909972,0.35473819564177106,0.3756046351871085,0.37541189846492956,0.37535392277952706,0.015031080047043352,0.3697191905287076,0.38132894336428147,21.89693132340794,21.90249440010543,0.4062500864667246,21.736894924953283,22.054433055341107,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M1,25,0.22150104764776526,0.22037449569997083,0.012077213925240146,0.2169369071772723,0.22641090983549075,22.00297244653156,22.13386752986712,0.6623360202635532,21.737212154514836,22.25922463728687,0.5090436700775084,0.5074330240716717,0.022839599261432836,0.5002475343180776,0.5179050392934458,0.18206330140431717,0.18039600551128387,0.007779380092332436,0.1791318466464678,0.1852390104780594,0.9712628134091694,0.971886356671651,0.010872913534666559,0.9670169595082599,0.9755050023992857,2.224933446248372,2.138185977935791,0.19071027547788058,2.1559459058443706,2.304650162140528,0.0,0.0,0.0,0.0,0.0,0.5158256435394287,0.515161136786143,0.013049562456771168,0.5109298780063788,0.5211305631101131,0.3912857464845244,0.39455103272505254,0.022886482119086837,0.38216062139776796,0.40005138439208787,0.35735401553001944,0.35852732898733747,0.014306232694145174,0.3518969975969671,0.3631271301161356,22.326676701282846,22.297620606564905,0.3976945743222411,22.169168441948354,22.477682503709005,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M13,25,0.1493825889202602,0.14910460353843244,0.010807260625493413,0.14517598533645584,0.15371715627518917,25.426058947333107,25.520622224630227,0.9179327645693866,25.068274044079363,25.779843455777435,0.704186660793542,0.6977160882857292,0.037895028607253606,0.6907603693827532,0.7202094212579724,0.25818603952725727,0.25605120261510206,0.010564139430423431,0.2543497682909171,0.2626175108402967,0.8480106568336488,0.8543426791826884,0.020044723223094158,0.8399833859006562,0.8555669048627218,14.493786350886028,14.471688429514566,0.1206919251712596,14.447769066969554,14.541299533685049,100.0,100.0,0.0,100.0,100.0,0.4592687451839447,0.454779992500941,0.01645379960849412,0.45314227132002516,0.4661254848142464,0.4270010359244556,0.4305194350862553,0.02208366649343181,0.4182044190758356,0.435503774542316,0.3315653588065681,0.32841715278601086,0.015594538143614653,0.3257882667195131,0.3380727893492504,22.979228110499506,23.03320127064813,0.5552358092718384,22.76262300314705,23.191483998405438,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M14,25,0.14956810878486945,0.14734617636929784,0.010816384501237593,0.14541938925290127,0.15392498161488993,25.414722601579523,25.52541400041984,0.9121644773678081,25.048567287102976,25.76992742341768,0.7043355878070697,0.6992507171959778,0.03650316236978677,0.6913841797278694,0.719573296007805,0.2579153339068095,0.2561244269212087,0.010376854501353939,0.25415939986705777,0.26228177639345324,0.8492251110076904,0.8548044959704081,0.019928054060319292,0.8412762630780538,0.856823540508747,14.46758810679118,14.406607071558634,0.14199721558505446,14.413939672152202,14.522873670260113,100.0,100.0,0.0,100.0,100.0,0.4595621875921885,0.45495925347010296,0.016322058782582062,0.4534893094698589,0.4663515511453152,0.4288126941416227,0.43113484494554283,0.02317243334996477,0.4197279518686645,0.4379359829256134,0.33082554770565836,0.32842483665454064,0.015856257582668804,0.3249180562143199,0.33734841583250014,22.998846500563054,23.05758961666587,0.5629198733874793,22.779856027247373,23.21356180063791,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M15,25,0.14925796297789448,0.1470850387669875,0.011861899964852258,0.14465863196118237,0.15406180918260395,25.438049615057412,25.599862255976337,0.9576221288467714,25.056427202996286,25.810961448465132,0.7058853303915612,0.701966209271006,0.03743258223765975,0.6929124008222336,0.7218266306487967,0.31167562524477643,0.31000593304634094,0.012129038542480175,0.30727066681782406,0.3167228041986624,0.8483782052993775,0.8539380431175232,0.02036095064358222,0.8402173893849054,0.856145596941312,14.403824640909829,14.381882826487223,0.14235599228873214,14.348744353771211,14.459696336110431,100.0,100.0,0.0,100.0,100.0,0.4594783409436544,0.45475929975509644,0.016171605749185088,0.4534822616279125,0.4662111477653186,0.4309346347200598,0.43493121640915505,0.023626635733906446,0.4216258601927772,0.4401283212254988,0.33026223929554344,0.3277854107705573,0.016366288566017583,0.32415336720852456,0.3370348710347747,23.01451290501853,23.075177136644893,0.5724003577832604,22.79192637611368,23.23326400419855,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M2,25,0.18272982084337386,0.1803101505176429,0.016395959643003527,0.1763945758876065,0.18916265259026413,23.691427015987216,23.86445812269616,0.9949339795553417,23.303979544302887,24.077946429111407,0.6175685786295285,0.6085708735000526,0.05204768312566953,0.5992775839393596,0.6393579832981163,0.24698084712028504,0.2466254184643427,0.010802220981446493,0.24296262315412362,0.2514941039433082,0.8667552844683329,0.8709306120872498,0.02171513270904301,0.8579016891916593,0.8748269281983376,14.976542749404906,14.925015370051065,0.19567762327681865,14.904160076141357,15.054433491627375,100.0,100.0,0.0,100.0,100.0,0.4648332770665487,0.4626934925715129,0.016334628819368285,0.4586820239623387,0.4716452482442061,0.4072592718956699,0.40866294842273865,0.022363263675194006,0.39845078670770473,0.41595126928225495,0.3432749293428062,0.3426591128006986,0.015652238458631198,0.33735541027865457,0.34968082680425533,22.67718198914561,22.693774940047263,0.5633803812105135,22.455461506417805,22.892287626903347,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M3,25,0.19087343582572483,0.19001901464093796,0.010729490882535546,0.18652376011572497,0.19503334250602372,23.305926420366895,23.29719534725878,0.7566091403931072,23.005982326646038,23.603892532972015,0.5973197614609497,0.6011146501194214,0.043481740700502716,0.5824107754433895,0.6159928181347503,0.19617446382840473,0.19526105125745133,0.009696526656682476,0.19248906008402505,0.20018253838022543,0.8838472890853882,0.8857924739519755,0.021226884148744588,0.8752944450775783,0.8917892132004102,14.97500242551168,14.92915407816569,0.2094670343424155,14.894717951933542,15.058622582674028,100.0,100.0,0.0,100.0,100.0,0.478068417708079,0.4752117296059926,0.015012308709375642,0.4723977999389172,0.4843145696520805,0.4026245497015768,0.4052850206864691,0.02146095813564929,0.3940484347161291,0.41087783468393935,0.3463411952414014,0.34656591825180433,0.013957114694679265,0.34114544739560393,0.35215965462429044,22.59816849715473,22.552237042396484,0.5082182040468813,22.398508805731385,22.793819552165097,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M4,25,0.19173444327459535,0.18980310314840973,0.012256037608200899,0.18675693464312115,0.19651944545270167,23.27311616485627,23.18931242245267,0.8265530574804352,22.94463203067914,23.601826286501773,0.5951808500356391,0.5926956411295865,0.044524797749842936,0.579705350020049,0.6141174946443589,0.1869066190719604,0.18526957432428992,0.008501099052696285,0.18368282983700432,0.1904353671123584,0.8823250571886699,0.8836984833081564,0.021016663651063416,0.8738925091028213,0.8901896385351817,15.072736495335896,15.013363599777222,0.23851576718189743,14.982375428517658,15.170244990269342,100.0,100.0,0.0,100.0,100.0,0.47733889818191527,0.47395700216293335,0.01462479932771843,0.47184827561179804,0.4833962381581466,0.39126416703242883,0.39298387497246007,0.020814622163962584,0.3829998035237229,0.3991895858220756,0.350085901549424,0.3502369846101039,0.013693674234709626,0.3449710529563032,0.3557636902546653,22.504588627320864,22.42552927804346,0.509120524853889,22.30568192757113,22.700498468298843,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M5,25,0.18776922068180502,0.18691288096676972,0.010289252716020885,0.18359941350819325,0.191756060960558,23.441447753924663,23.375396179946947,0.7668136073662536,23.139219091530087,23.746278897790486,0.6050357293382332,0.599373080026412,0.043276951427416305,0.5899575793713789,0.6235327784591983,0.1872433120012283,0.1862977693478266,0.00872059856124036,0.18394475441177682,0.19085731348395346,0.8781485795974732,0.8799382249514262,0.02130135322402405,0.8695751439531643,0.8861527123848597,15.07441972096761,15.07195750872294,0.23208469061632853,14.987940386851628,15.167778083403904,100.0,100.0,0.0,100.0,100.0,0.4755501985549926,0.4731999735037486,0.015171410385160122,0.4698834331929684,0.48183341468373936,0.3929907999672306,0.39578146952240095,0.020425361381826858,0.3848958886385599,0.4007271303463909,0.34879292185677235,0.3476331817712563,0.013654491341715229,0.3437138109501945,0.35445924071787915,22.53594073576512,22.49542573710869,0.5129957340459396,22.33286956265443,22.73180657009709,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M6,25,0.1648197900147401,0.16124607901094476,0.012715227568508462,0.15992915381727346,0.16978330968351046,24.580892961105338,24.68957564051566,0.9061128735904017,24.23282609574696,24.930917932167905,0.6628216820175701,0.6543755152071736,0.04563576584027051,0.6466061289950439,0.6817986973517433,0.2564216285943985,0.2550490548213323,0.010746227065317882,0.25240456794699034,0.2608643559316794,0.8573737819989522,0.8610775073369344,0.020208801512765023,0.8492043878237406,0.8649459696809453,15.046109762191772,15.039633830388388,0.18876492637978723,14.971785671949387,15.120763995488485,100.0,100.0,0.0,100.0,100.0,0.46498512506484985,0.4617210030555725,0.016053180269043264,0.4589466025133928,0.4716886660257975,0.41134230546625317,0.4118893519024109,0.021745061675056843,0.40272650326466347,0.41981828670580795,0.33866638534463234,0.3374489002604422,0.01528729027055969,0.33296119894715664,0.3449712214903605,22.79463021628254,22.826399991134394,0.5544905666085042,22.580257774370523,23.006720476198062,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M7,25,0.16681040812620096,0.1647774260055127,0.0120341892942585,0.16219246773368032,0.17154025518537375,24.470044977690165,24.351257909359195,0.877575054616618,24.13112176768805,24.810169436971684,0.6541611322158345,0.6449791303729205,0.04171591861470555,0.6394350074009418,0.6712677451999185,0.18587858915328975,0.184865728020668,0.007636174094422228,0.18301813577115533,0.1890186817348003,0.8639429267247519,0.8661640286445618,0.019924349226580554,0.8558616637388864,0.8714371331135433,15.016053740183514,14.953387578328451,0.22939700720487097,14.931639249404272,15.11204300459226,100.0,100.0,0.0,100.0,100.0,0.4674417928854624,0.46441850066185,0.015807674776790126,0.461534069130818,0.4741136508981386,0.4339534931947703,0.4390016686278913,0.022185353216161868,0.42506902255896084,0.44255017069255936,0.33046297364415783,0.3280969752895651,0.01531677080931897,0.3247182045794032,0.33676424361638513,23.008064042796928,23.075848256335494,0.5441156795628617,22.79519197461994,23.21320329500574,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
M8,25,0.1662216538868444,0.16325456792832907,0.012581830660740381,0.16140292947325088,0.1711801938677529,24.50769301398428,24.681380039954465,0.8859431181755361,24.16838223279939,24.853046650148098,0.6593771936190366,0.6519340051517194,0.043204852588459346,0.6441769260846154,0.677281898873844,0.2562664286295573,0.2547726581494013,0.010815327032285662,0.2521920585036277,0.26074324077367783,0.8593728097279868,0.8612594803174337,0.020647088170874874,0.8509937544465064,0.8671223078966143,15.06124171257019,15.003656466801962,0.22784140029137567,14.976209005355834,15.153538200378419,100.0,100.0,0.0,100.0,100.0,0.46575213750203454,0.4630973736445109,0.01620614147257235,0.4597121819555759,0.4725788792272408,0.41145215006673086,0.4126462170192266,0.021844368417206904,0.40262285695584854,0.4198948324353922,0.3385754392609643,0.3375929775559487,0.01567577360279082,0.3326981400435486,0.3449862470173519,22.797266945386554,22.815052296886275,0.5580149062099693,22.579156278901035,23.009538281064028,0.2512333170572916,0.260162353515625,0.043739408749414184,0.23215654500325522,0.2655861460367839
