method,n_subjects,nrmse_mean,nrmse_median,nrmse_std,nrmse_ci_lo,nrmse_ci_hi,psnr_mean,psnr_median,psnr_std,psnr_ci_lo,psnr_ci_hi,ssim_mean,ssim_median,ssim_std,ssim_ci_lo,ssim_ci_hi,measured_kspace_err_mean,measured_kspace_err_median,measured_kspace_err_std,measured_kspace_err_ci_lo,measured_kspace_err_ci_hi,heldout_kspace_err_mean,heldout_kspace_err_median,heldout_kspace_err_std,heldout_kspace_err_ci_lo,heldout_kspace_err_ci_hi,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_std,runtime_seconds_ci_lo,runtime_seconds_ci_hi,num_net_evals_mean,num_net_evals_median,num_net_evals_std,num_net_evals_ci_lo,num_net_evals_ci_hi,heldout_kspace_err_allcoef_mean,heldout_kspace_err_allcoef_median,heldout_kspace_err_allcoef_std,heldout_kspace_err_allcoef_ci_lo,heldout_kspace_err_allcoef_ci_hi,ssim_fullfov_mean,ssim_fullfov_median,ssim_fullfov_std,ssim_fullfov_ci_lo,ssim_fullfov_ci_hi,nrmse_fullfov_mean,nrmse_fullfov_median,nrmse_fullfov_std,nrmse_fullfov_ci_lo,nrmse_fullfov_ci_hi,psnr_fullfov_mean,psnr_fullfov_median,psnr_fullfov_std,psnr_fullfov_ci_lo,psnr_fullfov_ci_hi,brain_fraction_mean,brain_fraction_median,brain_fraction_std,brain_fraction_ci_lo,brain_fraction_ci_hi
comp4_ft,20,0.12046755867465811,0.12058766750702987,0.004366530777651078,0.11854953265685692,0.12235934157339558,27.17580850867837,27.164481163995376,0.8945575199854545,26.784470455196256,27.56676029552864,0.7642554669657813,0.7589873605121356,0.03687454568237645,0.7491541362687001,0.7809295258813889,0.27027203862865756,0.2655601849158605,0.013491574182878944,0.26437638557205595,0.27625529907022917,0.8387777214248976,0.8364915748437246,0.02697917596290631,0.8268282202382883,0.8505080616598328,14.595845504601794,14.607091188430786,0.11099459849798263,14.547198954125243,14.644007690449557,100.0,100.0,0.0,100.0,100.0,0.4645572687188785,0.46366910139719647,0.018458703404275818,0.4563734507809083,0.47275590449571614,0.4315975448662407,0.43739065037256497,0.02107809170503053,0.4220636092242669,0.44027617211203834,0.3315745698781364,0.32916663387605366,0.01615435190020817,0.3245580501917042,0.338900381674172,23.02759793503818,23.121542849930147,0.6652040573381,22.734406417973087,23.32760151560527,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
comp4_merge,20,0.12152418977601395,0.12038627209098424,0.005267522885049779,0.11919299606363885,0.12383549170514431,27.104631074828927,27.22511584878951,0.8649203232755902,26.72438925351844,27.486914962255366,0.7655776610932029,0.7607551238308536,0.034831102773525885,0.7513198456814332,0.7816387047852769,0.41494436413049696,0.4117441227038702,0.016943645514396862,0.4074784855172038,0.4225228450571497,0.8370438103874525,0.8351742625236511,0.02720751939846983,0.8251289771248898,0.8488849073896806,14.394293737411502,14.330598672231037,0.17366016819411567,14.31672800809145,14.468972582717738,100.0,100.0,0.0,100.0,100.0,0.46467930674552915,0.4639751066764196,0.018342493560257564,0.45655200601865853,0.4727830090622107,0.43290527952155833,0.43655609081947755,0.020514294460148512,0.42372394372566835,0.44157597919056885,0.3318880794834294,0.3290413027253082,0.016736344361931294,0.3244954369997265,0.3393645572428624,23.021380895489052,23.066291954307268,0.6761563159057751,22.726235882764733,23.328332068976728,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
dualfull_ft,20,0.14251361595036088,0.13926726744101808,0.015296116427577023,0.13613422492240335,0.1495927398366883,25.790021168475533,26.005010530146436,1.2209969386620991,25.245982851393844,26.32574387447085,0.7585896277246441,0.7556348252177731,0.03555857355790754,0.7438949930916826,0.7747563979181329,0.4642236327131589,0.4621364871660868,0.020484320640085048,0.45517892330884935,0.4731360004221399,,,,,,14.422405741612115,14.386477907498676,0.1764539838598718,14.345650845567384,14.49876213972767,100.0,100.0,0.0,100.0,100.0,0.46397916947801915,0.46231260895729065,0.02044993430683406,0.45497351527214036,0.4729284157355626,0.4170397598069198,0.4202729566289544,0.019458744056978273,0.40827621585852364,0.4252833991419059,0.34586853244952775,0.34243602064052114,0.01902770228928309,0.3375107947163384,0.35421353974111297,22.666105616338086,22.6711924817714,0.7397576742073437,22.343472322439098,22.996781335812507,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
dualfull_merge,20,0.09855936908675729,0.10075379409402169,0.011067188936734187,0.09360418788659318,0.10339039849497883,28.9967327017036,29.08841741677262,1.328904805711116,28.424600525949856,29.577915930127617,0.8777639913777314,0.8752127473379849,0.020760681918627885,0.8688614991242067,0.8869655125801795,0.4083575837314129,0.4059066673119863,0.017832382154560407,0.40056242186576135,0.41614583934967714,,,,,,0.012844572464624993,0.012575109799702916,0.0009757915197536834,0.012497330904006912,0.013326635410388263,0.0,0.0,0.0,0.0,0.0,0.4081834750870864,0.4051700085401535,0.01788891404501298,0.40032322309290375,0.41601838901638993,0.5471273797435865,0.5524588524203613,0.030490583961040714,0.5335384279529253,0.559843004419267,0.29161093702042773,0.289504747261274,0.015978266904334182,0.2849313785053414,0.29894455113152607,24.147035936880982,24.372207834378038,0.6698894298507669,23.851504446237524,24.436340139870598,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
dup4_ft,20,0.14467922942772854,0.1465234568443588,0.006645950140119503,0.14176965524310117,0.14755327856258899,25.60164369427572,25.670223607473112,1.0011982246687048,25.166537845537658,26.040842578024286,0.7032369168826598,0.6933912210985327,0.04518698187450596,0.6845457097273199,0.7236494877076919,0.2687012900908788,0.26623370250066114,0.01331967192742627,0.2628874730194608,0.27465438252314917,0.8578148081898689,0.8613715569178264,0.0188972521564533,0.8494709526995818,0.8660795533532898,14.580314548810325,14.55430285135905,0.17591981973040463,14.499571101268137,14.652797633111476,100.0,100.0,0.0,100.0,100.0,0.4725642281274001,0.47099768122037255,0.0185109835989806,0.4643648250152667,0.4808344510942697,0.41103309806750044,0.41331005288897427,0.020592277673822868,0.40185156054728915,0.4196738147987822,0.34045009468515397,0.33794116373790034,0.016011565907880054,0.33353999541111606,0.34771826479206197,22.79755239402172,22.82686322784125,0.6651575000427725,22.50662578041478,23.09901123942744,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
dup4_merge,20,0.1576563347213871,0.15830179866395905,0.00958321827027498,0.15345672642743177,0.16184698696407243,24.85918293559543,25.002896337493734,1.1235604014283147,24.37122433795553,25.355504135721624,0.6562896440715712,0.6607970534556054,0.04721698806444992,0.6360477723974054,0.6772525037204066,0.15897504252692063,0.15659989664951957,0.008224796208973489,0.1555825306661427,0.16274716993483399,0.8833178609609604,0.8831746180852253,0.022555231681736124,0.8736211398988962,0.8932125726342199,14.430888142188389,14.408480902512867,0.14236197817869592,14.367863601744178,14.492209122478963,100.0,100.0,0.0,100.0,100.0,0.4856631636619568,0.4813695897658666,0.019523489724805908,0.47746094727267824,0.49458951922754435,0.44858631291170414,0.45254617458865387,0.023121857135290334,0.4380222919260537,0.4579921505467764,0.3246154460092063,0.32276655013201905,0.014610596674999383,0.31834994575933845,0.33125085574749236,23.21080258302377,23.330513194742856,0.6414761566261936,22.93005282008647,23.49727778256013,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
fcomp4_ft,20,0.1406216998914521,0.1377762178392914,0.01677883287792325,0.13341579799091388,0.1484100039947585,25.92514849080457,26.240197754655053,1.2830455146337123,25.348459398960827,26.481583899635243,0.7559496010886777,0.7488000644467434,0.03744958116063883,0.740778322683822,0.7735493803877332,0.4636064800123374,0.4604811817407608,0.019899298607921126,0.454842129846414,0.472334500271827,,,,,,14.56265693704287,14.549383143583935,0.12865678629863678,14.506831158498922,14.618626862963042,100.0,100.0,0.0,100.0,100.0,0.46832258651653935,0.46610165635744727,0.02027432361149198,0.45938783631970487,0.4772570960347851,0.42459458698752217,0.4267969036012631,0.02054863693639921,0.4153447214403243,0.43338368769297214,0.3418587899122488,0.3383696871227802,0.019867830203905888,0.33315312979158945,0.35056888199049163,22.770451880271857,22.779791052589964,0.7496679236366801,22.444262830807215,23.107936390450103,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
fcomp4_merge,20,0.1305797695793277,0.12949265759980616,0.012020493271960406,0.12562008368656474,0.1362567550463481,26.523122038765717,26.98807363310523,1.0894550660293798,26.039018723762815,26.995009320974287,0.7649871735337874,0.7553201547210027,0.03470718454402922,0.7507768932188847,0.7809352107943713,0.4609038253625233,0.4581229935089747,0.018983749887727448,0.45249906552334623,0.4692775090535482,,,,,,14.40731343428294,14.410075346628826,0.12877058016739262,14.351767428020636,14.464770853122078,100.0,100.0,0.0,100.0,100.0,0.4660044203201929,0.4640615532795588,0.01944722497381378,0.4574752617999911,0.4746342407539487,0.4269978270674081,0.4310676461477913,0.01876796508371788,0.41845257713053113,0.43485186201914716,0.3376872046655366,0.3334370764207636,0.017823445814716066,0.32986769363598933,0.34557247902987337,22.873178699868035,22.852037572737274,0.7020370500236969,22.56928700340229,23.188895699849375,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
full_diffusion,20,0.13464699063941,0.13451107782778832,0.010578007157716124,0.13029661367784556,0.13956770520102454,26.247819038403076,26.118082270720855,1.0032208115522148,25.820992570805046,26.696691210268433,0.7577176334667718,0.7521822468535289,0.03392235822243755,0.7435842307507364,0.77332194456108,0.4586805698772272,0.4559281518061956,0.018590563890476336,0.45050208002328873,0.4668812910467387,,,,,,14.423323696851728,14.482964197794598,0.13230055553979994,14.364943962643546,14.47948756898443,100.0,100.0,0.0,100.0,100.0,0.4586805698772272,0.4559281518061956,0.018590563890476336,0.45050208002328873,0.4668812910467387,0.42557550199615174,0.4281434279831234,0.022774099454243885,0.41528832037787694,0.43515880486840913,0.33917380446938306,0.3367063568224123,0.018829702009604897,0.33101360637220806,0.34752745672525154,22.835249632978538,22.889531566598464,0.7208904245061959,22.52185514798619,23.154768980179878,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
full_plain,20,0.1198432756596971,0.11892017341324851,0.008545347429331007,0.11647173996784271,0.1239805118518787,27.24012567778197,27.249081971115444,0.8103165509566203,26.891067828023665,27.596156136627137,0.796393429460897,0.7958030108157099,0.03272342302006284,0.7831573452997046,0.8117665632647549,0.3783503152430058,0.3749840334057808,0.016800913719180282,0.37125905887534216,0.38593516250451404,,,,,,0.009577079614003446,0.009457627932230567,0.00048713909866254264,0.009380148748556718,0.009801744123299861,0.0,0.0,0.0,0.0,0.0,0.3783503152430058,0.3749840334057808,0.016800913719180282,0.37125905887534216,0.38593516250451404,0.5292581964978409,0.5372070002051276,0.031113694165272085,0.5152214177373547,0.5420398894769347,0.28549156256011676,0.2817048794251169,0.016986734710037723,0.2786958820141232,0.2934105355714458,24.33378835774143,24.445989875984047,0.6621737360679053,24.042066959706634,24.619062629601643,0.22418162027994795,0.2511571248372396,0.06841993788118432,0.19330477396647136,0.2523915417989095
