tier,l_ss,likelihood,num_steps,heldout_kspace_err,ssim,runtime,diverged,n
sparse,3.0,DPS,100,0.8328396280606588,0.1526239161523018,14.271038174629211,0,6
sparse,10.0,DPS,100,0.4845997939507167,0.545257095912676,14.122265537579857,0,6
sparse,30.0,DPS,100,0.4771418571472168,0.5820073144438315,14.06695306301117,0,6
sparse,100.0,DPS,100,0.4878720740477244,0.5563003614817489,14.067645788192747,0,6
mid,3.0,DPS,100,0.82886670033137,0.1546418731526906,14.200378576914469,0,6
mid,10.0,DPS,100,0.4784457186857859,0.6100999009174352,14.253973285357157,0,6
mid,30.0,DPS,100,0.4732704162597656,0.6371516101408549,14.211774945259094,0,6
mid,100.0,DPS,100,0.4845957010984421,0.6031118942416559,14.153977870941162,0,6
dense,3.0,DPS,100,1.016359766324361,0.1179997895058519,14.235790848731996,0,6
dense,10.0,DPS,100,0.8975242674350739,0.4412422536457547,14.571008006731669,0,6
dense,30.0,DPS,100,0.8603446185588837,0.6415072059450045,14.848578254381817,0,6
dense,100.0,DPS,100,0.8687247733275095,0.6323803470297672,14.835852225621542,0,6
dense,300.0,DPS,100,0.9446492493152618,0.5130553092773734,14.857021609942118,0,6
